timestamp,monitor,raw_brightness,opacity,dimmed_brightness
2026-01-10T22:09:01.870,1,40.531,30.2,35.739
2026-01-10T22:09:01.870,2,19.973,0.0,19.973
2026-01-10T22:09:02.931,1,39.106,37.5,33.349
2026-01-10T22:09:02.931,2,19.972,0.0,19.972
2026-01-10T22:09:03.943,1,38.238,40.0,32.245
2026-01-10T22:09:03.943,2,19.972,0.0,19.972
2026-01-10T22:09:06.777,1,45.264,9.6,43.560
2026-01-10T22:09:06.777,2,19.976,0.0,19.976
2026-01-10T22:09:07.793,1,45.428,35.9,39.036
2026-01-10T22:09:07.793,2,19.976,0.0,19.976
2026-01-10T22:09:08.809,1,45.437,49.8,36.564
2026-01-10T22:09:08.809,2,19.976,0.0,19.976
2026-01-10T22:09:09.889,1,45.777,57.5,35.447
2026-01-10T22:09:09.889,2,19.976,0.0,19.976
2026-01-10T22:09:10.943,1,45.786,61.6,34.728
2026-01-10T22:09:10.943,2,19.969,0.0,19.969
2026-01-10T22:09:12.172,1,44.569,63.2,33.519
2026-01-10T22:09:12.172,2,73.649,102.0,44.199
2026-01-10T22:09:13.393,1,93.908,138.6,42.873
2026-01-10T22:09:13.393,2,72.403,125.4,36.796
2026-01-10T22:09:14.483,1,207.877,181.6,59.874
2026-01-10T22:09:14.483,2,72.403,137.6,33.323
2026-01-10T22:09:15.591,1,46.220,183.5,12.952
2026-01-10T22:09:15.591,2,78.149,146.9,33.137
2026-01-10T22:09:16.795,1,46.284,128.3,22.995
2026-01-10T22:09:16.795,2,138.142,177.4,42.063
2026-01-10T22:09:17.854,1,46.314,99.5,28.245
2026-01-10T22:09:17.854,2,138.142,207.3,25.842
2026-01-10T22:09:18.945,1,46.336,84.4,30.994
2026-01-10T22:09:18.945,2,138.142,222.9,17.374
2026-01-10T22:09:20.072,1,46.363,76.6,32.440
2026-01-10T22:09:20.072,2,78.745,204.5,15.606
2026-01-10T22:09:21.276,1,46.389,72.5,33.204
2026-01-10T22:09:21.276,2,19.838,154.8,7.791
2026-01-10T22:09:22.346,1,46.435,70.3,33.626
2026-01-10T22:09:22.346,2,19.838,80.8,13.550
2026-01-10T22:09:23.449,1,46.442,69.2,33.835
2026-01-10T22:09:23.449,2,138.169,78.2,95.799
2026-01-10T22:09:24.562,1,46.483,68.0,34.088
2026-01-10T22:09:24.562,2,19.838,108.2,11.421
2026-01-10T22:09:25.673,1,46.529,68.0,34.121
2026-01-10T22:09:25.673,2,19.838,56.5,15.445
2026-01-10T22:09:26.756,1,46.538,68.0,34.128
2026-01-10T22:09:26.756,2,19.838,29.5,17.545
